"The products supplied in the import file could not be found in the Magento catalog OR all were filtered by profile filters.","The products supplied in the import file could not be found in the Magento catalog OR all were filtered by profile filters."
"Price scope for price updates: %1","Price scope for price updates: %1"
"Transaction started. Starting import.","Transaction started. Starting import."
"Stock import: Attribute to use for identifying products not defined.","Stock import: Attribute to use for identifying products not defined."
"The following SKUs defined in the import file could not be found in the catalog: %1","The following SKUs defined in the import file could not be found in the catalog: %1"
"The supplied product attribute code used to identify products does not exist.","The supplied product attribute code used to identify products does not exist."
"The following product IDs defined in the import file could not be found in the catalog: %1","The following product IDs defined in the import file could not be found in the catalog: %1"
"Warning: Filter %1 has not been configured properly. Filter skipped.","Warning: Filter %1 has not been configured properly. Filter skipped."
"Warning: Filter %1 has not been configured properly. One more multiple filter fields are empty. Filter skipped.","Warning: Filter %1 has not been configured properly. One more multiple filter fields are empty. Filter skipped."
"Warning: Filter %1 uses a product attribute to filter which does not exist anymore. Filter skipped.","Warning: Filter %1 uses a product attribute to filter which does not exist anymore. Filter skipped."
"Warning: Filter %1 tries to filter by a dropdown attribute value which does not exist. Please check the attribute ""%2"" and make sure the exact dropdown option (""%3"") exists as an attribute option (Store View = Admin).","Warning: Filter %1 tries to filter by a dropdown attribute value which does not exist. Please check the attribute ""%2"" and make sure the exact dropdown option (""%3"") exists as an attribute option (Store View = Admin)."
"Filter %1 has removed/filtered %2 product(s) from the import files.","Filter %1 has removed/filtered %2 product(s) from the import files."
"Error while trying to get current price info. The price attribute could not be found.","Error while trying to get current price info. The price attribute could not be found."
"Error while trying to get current special price info. The special price attribute could not be found.","Error while trying to get current special price info. The special price attribute could not be found."
"Error while trying to load attribute %1, attribute not found. Remove it from the import profile.","Error while trying to load attribute %1, attribute not found. Remove it from the import profile."
" [MSI Source: %1]"," [MSI Source: %1]"
"Product '%1' was found in Magento, but no fields have changed. Identified product ID is %2.","Product '%1' was found in Magento, but no fields have changed. Identified product ID is %2."
"Product '%1' (MSI Item) stock updated in Magento: %2.","Product '%1' (MSI Item) stock updated in Magento: %2."
"Product '%1' (MSI Item) stock created in Magento: %2.","Product '%1' (MSI Item) stock created in Magento: %2."
"An invalid value was imported for the product status column. It should contain values like ""Enabled"" or ""Disabled"".","An invalid value was imported for the product status column. It should contain values like ""Enabled"" or ""Disabled""."
"Store ID %1:","Store ID %1:"
"Product '%1' would have been updated. Identified product ID is %2. Updated fields: %3","Product '%1' would have been updated. Identified product ID is %2. Updated fields: %3"
"Product '%1' has been updated. Identified product ID is %2. Updated fields: %3","Product '%1' has been updated. Identified product ID is %2. Updated fields: %3"
"Product '%1' (New stock item) would have been imported into Magento. Identified product ID is %2. New fields: %3","Product '%1' (New stock item) would have been imported into Magento. Identified product ID is %2. New fields: %3"
"Product '%1' (New stock item) has been imported into Magento. Identified product ID is %2. New fields: %3","Product '%1' (New stock item) has been imported into Magento. Identified product ID is %2. New fields: %3"
"Product '%1' would have been imported into Magento. Identified product ID is %2. Updated fields: %3","Product '%1' would have been imported into Magento. Identified product ID is %2. Updated fields: %3"
"Product '%1' has been imported into Magento. Identified product ID is %2. Updated fields: %3","Product '%1' has been imported into Magento. Identified product ID is %2. Updated fields: %3"
"Test mode enabled. Not running any reindex action.","Test mode enabled. Not running any reindex action."
"Starting MSI reindex.","Starting MSI reindex."
"MSI reindex completed in %1 seconds.","MSI reindex completed in %1 seconds."
"Notified M2ePro about updated products/stock levels.","Notified M2ePro about updated products/stock levels."
"Running reindex.","Running reindex."
"Reindex completed in %1 seconds.","Reindex completed in %1 seconds."
"Flagging stock index as reindex required.","Flagging stock index as reindex required."
"Reindexing disabled. Not touching index at all.","Reindexing disabled. Not touching index at all."
"No stock items modified. No reindex actions required.","No stock items modified. No reindex actions required."
"Invalidating Magento Enterprise Full Page Cache.","Invalidating Magento Enterprise Full Page Cache."
"Cleaning Magento Enterprise Full Page Cache.","Cleaning Magento Enterprise Full Page Cache."
"Price/attribute update: Running reindex for price, product_flat and category_product.","Price/attribute update: Running reindex for price, product_flat and category_product."
"Error while reindexing %1. Exception: %2","Error while reindexing %1. Exception: %2"
"Price/attribute update: Full reindex completed in %1 seconds.","Price/attribute update: Full reindex completed in %1 seconds."
"General error while reindexing. Exception: %1","General error while reindexing. Exception: %1"
"Done: afterRun() (Reindexer functions, ...)","Done: afterRun() (Reindexer functions, ...)"
"Files have been parsed, however, the prepareImport function complains that there were problems preparing the import data. Stopping import. Make sure your import processor is set up right.","Files have been parsed, however, the prepareImport function complains that there were problems preparing the import data. Stopping import. Make sure your import processor is set up right."
"Product with identifier '%1' was skipped because of 'skip' field configuration XML set up in profile.","Product with identifier '%1' was skipped because of 'skip' field configuration XML set up in profile."
"Notice: %1 | File '%2'","Notice: %1 | File '%2'"
"Exception catched for row with product identifier '%1' specified in '%2' from source ID '%3':\n%4","Exception catched for row with product identifier '%1' specified in '%2' from source ID '%3':\n%4"
"Please configure the CSV processor in the configuration section of this import profile. The Product Identifier field may not be empty and must be mapped.","Please configure the CSV processor in the configuration section of this import profile. The Product Identifier field may not be empty and must be mapped."
"Please configure the CSV processor in the configuration section of this import profile. The Field Delimiter may not be empty.","Please configure the CSV processor in the configuration section of this import profile. The Field Delimiter may not be empty."
"""Could not load XML configuration for field "" . . "": "" .","""Could not load XML configuration for field "" . . "": "" ."
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
"No Backorders","No Backorders"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"-- Product Information -- ","-- Product Information -- "
"Product Identifier *","Product Identifier *"
"Qty In Stock","Qty In Stock"
"-- Optional: Stock Settings -- ","-- Optional: Stock Settings -- "
"Manage Stock","Manage Stock"
"Manage Stock (Use Config)","Manage Stock (Use Config)"
"Stock Status","Stock Status"
"Notify Stock Qty (notify_stock_qty)","Notify Stock Qty (notify_stock_qty)"
Backorders,Backorders
"Out-of-Stock Threshold (min_qty)","Out-of-Stock Threshold (min_qty)"
"Minimum Qty Allowed in Shopping Cart (min_sale_qty)","Minimum Qty Allowed in Shopping Cart (min_sale_qty)"
"Maximum Qty Allowed in Shopping Cart (max_sale_qty)","Maximum Qty Allowed in Shopping Cart (max_sale_qty)"
"-- Price Import -- ","-- Price Import -- "
"Product Price","Product Price"
"Product Special Price","Product Special Price"
"Product Cost","Product Cost"
"Tier Price (All Groups)","Tier Price (All Groups)"
"Tier Price (%1)","Tier Price (%1)"
"-- Multi-Warehouse (Stock ID) --","-- Multi-Warehouse (Stock ID) --"
"Stock ID","Stock ID"
"-- Multi-Source Inventory (MSI) --","-- Multi-Source Inventory (MSI) --"
"Source Code","Source Code"
"-- Product Update --","-- Product Update --"
"Product Status (Enabled/Disabled)","Product Status (Enabled/Disabled)"
"-- Product Attributes --","-- Product Attributes --"
"The phpoffice/phpspreadsheet library is not installed. No spreadsheets can be parsed. Please install the library as explained in our wiki using composer in order to use this import processor.","The phpoffice/phpspreadsheet library is not installed. No spreadsheets can be parsed. Please install the library as explained in our wiki using composer in order to use this import processor."
"Please configure the Spreadsheet processor in the configuration section of this import profile. The Product Identifier field may not be empty and must be mapped.","Please configure the Spreadsheet processor in the configuration section of this import profile. The Product Identifier field may not be empty and must be mapped."
"Please configure the XML processor in the configuration section of this import profile. The product identifier field may not be empty and must be mapped.","Please configure the XML processor in the configuration section of this import profile. The product identifier field may not be empty and must be mapped."
"Please configure the XML Processor in the configuration section of this import profile. The Data XPath field may not be empty.","Please configure the XML Processor in the configuration section of this import profile. The Data XPath field may not be empty."
"Local Directory","Local Directory"
"FTP Server","FTP Server"
"SFTP Server","SFTP Server"
"HTTP URL Download","HTTP URL Download"
Webservice/API,Webservice/API
"Custom Class","Custom Class"
"Custom class NOT found.","Custom class NOT found."
"Custom class found and ready to use.","Custom class found and ready to use."
"Detailed Error","Detailed Error"
"No FTP-SSL functions found. Please compile PHP with SSL support.","No FTP-SSL functions found. Please compile PHP with SSL support."
"No FTP functions found. Please compile PHP with FTP support.","No FTP functions found. Please compile PHP with FTP support."
"Could not connect to FTP server. Please make sure that there is no firewall blocking the outgoing connection to the FTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote FTP server. A firewall is probably blocking ingoing/outgoing FTP connections. %1","Could not connect to FTP server. Please make sure that there is no firewall blocking the outgoing connection to the FTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote FTP server. A firewall is probably blocking ingoing/outgoing FTP connections. %1"
"Could not log into FTP server. Wrong username or password. %1","Could not log into FTP server. Wrong username or password. %1"
"Could not change directory on FTP server to import directory. Please make sure the directory exists (base path must be exactly the same) and that we have rights to read in the directory. %1","Could not change directory on FTP server to import directory. Please make sure the directory exists (base path must be exactly the same) and that we have rights to read in the directory. %1"
"Connection with FTP server tested successfully.","Connection with FTP server tested successfully."
"Source ""%1"" (ID: %2): %3","Source ""%1"" (ID: %2): %3"
"Source ""%1"" (ID: %2): Could not get file listing for import directory. You should try enabling Passive Mode in the modules FTP configuration. %3","Source ""%1"" (ID: %2): Could not get file listing for import directory. You should try enabling Passive Mode in the modules FTP configuration. %3"
"Source ""%1"" (ID: %2): Could not download file ""%3"" from FTP server. Please make sure we've got rights to read the file. You can also try enabling Passive Mode in the configuration section of the extension. %4","Source ""%1"" (ID: %2): Could not download file ""%3"" from FTP server. Please make sure we've got rights to read the file. You can also try enabling Passive Mode in the configuration section of the extension. %4"
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the FTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the import path is an absolute path, i.e. that it begins with a slash (/). %5","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the FTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the import path is an absolute path, i.e. that it begins with a slash (/). %5"
"Source ""%1"" (ID: %2): Could not change directory on FTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/). %5","Source ""%1"" (ID: %2): Could not change directory on FTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/). %5"
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the FTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/). %6","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the FTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. Also, make sure the archive path is an absolute path, i.e. that it begins with a slash (/). %6"
"HTTP Download class initialized successfully.","HTTP Download class initialized successfully."
"Source ""%1"" (ID: %2): There was a problem downloading the file ""%3"", probably a firewall is blocking the connection: curl_error: %4","Source ""%1"" (ID: %2): There was a problem downloading the file ""%3"", probably a firewall is blocking the connection: curl_error: %4"
"It is not allowed to load import files from the directory you have specified. Please change the local import directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example.","It is not allowed to load import files from the directory you have specified. Please change the local import directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example."
"It is not allowed to move archived files into the directory you have specified. Please change the archive directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example.","It is not allowed to move archived files into the directory you have specified. Please change the archive directory to be located in the ./var/ folder for example. Do not use the Magento root directory for example."
"The specified local import directory does not exist. Please create this directory or adjust the path. Could not load files from: %1","The specified local import directory does not exist. Please create this directory or adjust the path. Could not load files from: %1"
"Could not open local import directory for reading. Please make sure that we have rights to read in the directory: %1","Could not open local import directory for reading. Please make sure that we have rights to read in the directory: %1"
"Local directory exists and is readable. Connection tested successfully.","Local directory exists and is readable. Connection tested successfully."
"Source ""%1"" (ID: %2): Could not open and read the file ""%3"" in the import directory.","Source ""%1"" (ID: %2): Could not open and read the file ""%3"" in the import directory."
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the local import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the local import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory."
"Source ""%1"" (ID: %2): Archive directory does not exist. Please make sure the directory exists and that we have rights to read/write in the directory. Could not archive files.","Source ""%1"" (ID: %2): Archive directory does not exist. Please make sure the directory exists and that we have rights to read/write in the directory. Could not archive files."
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the local archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory.","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the local archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory."
"No SFTP functions found. The Net_SFTP class is missing.","No SFTP functions found. The Net_SFTP class is missing."
"Could not connect to SFTP server. Please make sure that there is no firewall blocking the outgoing connection to the SFTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote SFTP server. A firewall is probably blocking ingoing/outgoing SFTP connections.","Could not connect to SFTP server. Please make sure that there is no firewall blocking the outgoing connection to the SFTP server and that the timeout is set to a high enough value. If this error keeps occurring, please get in touch with your server hoster / server administrator AND with the server hoster / server administrator of the remote SFTP server. A firewall is probably blocking ingoing/outgoing SFTP connections."
"Connection to SFTP server failed (make sure no firewall is blocking the connection). This error could also be caused by a wrong login for the SFTP server. %1","Connection to SFTP server failed (make sure no firewall is blocking the connection). This error could also be caused by a wrong login for the SFTP server. %1"
"Could not change directory on SFTP server to import directory. Please make sure the directory exists and that we have rights to read in the directory. %1","Could not change directory on SFTP server to import directory. Please make sure the directory exists and that we have rights to read in the directory. %1"
"Connection with SFTP server tested successfully.","Connection with SFTP server tested successfully."
"Source ""%1"" (ID: %2): Could not download file listing SFTP server. Error: %3","Source ""%1"" (ID: %2): Could not download file listing SFTP server. Error: %3"
"Source ""%1"" (ID: %2): Could not download file ""%3"" from SFTP server. Please make sure we've got rights to read the file. %4","Source ""%1"" (ID: %2): Could not download file ""%3"" from SFTP server. Please make sure we've got rights to read the file. %4"
"Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the SFTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. %5","Source ""%1"" (ID: %2): Could not delete file ""%3%4"" from the SFTP import directory after processing it. Please make sure the directory exists and that we have rights to read/write in the directory. %5"
"Source ""%1"" (ID: %2): Could not change directory on SFTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. %3","Source ""%1"" (ID: %2): Could not change directory on SFTP server to archive directory. Please make sure the directory exists and that we have rights to read/write in the directory. %3"
"Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the SFTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. %6","Source ""%1"" (ID: %2): Could not move file ""%3%4"" to the SFTP archive directory located at ""%5"". Please make sure the directory exists and that we have rights to read/write in the directory. %6"
"--- Select Frequency ---","--- Select Frequency ---"
"Use ""custom import frequency"" field","Use ""custom import frequency"" field"
"Every 5 minutes","Every 5 minutes"
"Every 10 minutes","Every 10 minutes"
"Every 15 minutes","Every 15 minutes"
"Every 20 minutes","Every 20 minutes"
"Every 30 minutes","Every 30 minutes"
"Every hour","Every hour"
"Every 2 hours","Every 2 hours"
"Daily (at midnight)","Daily (at midnight)"
"Twice Daily (12am, 12pm)","Twice Daily (12am, 12pm)"
"No profiles available. Add and enable import profiles for the %1 entity first.","No profiles available. Add and enable import profiles for the %1 entity first."
Successful,Successful
SKU,SKU
"Product ID (entity_id)","Product ID (entity_id)"
"Custom Product Attribute","Custom Product Attribute"
Profile,Profile
"Upload file manually","Upload file manually"
"Test mode (no updates will be imported)","Test mode (no updates will be imported)"
"Show debug messages","Show debug messages"
"Run Import","Run Import"
"Import Debug Results","Import Debug Results"
"Running import... Please wait...","Running import... Please wait..."
"Please fix and re-save profile.","Please fix and re-save profile."
"Filter: Include or exclude products from importing","Filter: Include or exclude products from importing"
Include/Exclude,Include/Exclude
"Product Attribute","Product Attribute"
Condition,Condition
Value,Value
"--- No filter selected ---","--- No filter selected ---"
"Exclude products where...","Exclude products where..."
"Include only products where...","Include only products where..."
"--- No attribute selected ---","--- No attribute selected ---"
"--- No condition selected ---","--- No condition selected ---"
"is (==)","is (==)"
"is not (!=)","is not (!=)"
"equals or greater than (&gt;=)","equals or greater than (&gt;=)"
"equals or less than (&lt;=)","equals or less than (&lt;=)"
"greater than (&gt;)","greater than (&gt;)"
"less than (&lt;)","less than (&lt;)"
contains,contains
"does not contain","does not contain"
"Reset Filter","Reset Filter"
"Tools - Export Settings","Tools - Export Settings"
"<b>Note:</b> You can select profiles and sources to export here, and later on import them into another Magento installation for example.","<b>Note:</b> You can select profiles and sources to export here, and later on import them into another Magento installation for example."
"Select Profiles","Select Profiles"
"Select all","Select all"
"Entity: %1","Entity: %1"
"No import profiles found.","No import profiles found."
"Select Sources","Select Sources"
"Type: %1","Type: %1"
"No import sources found.","No import sources found."
"Export Settings","Export Settings"
"Tools - Import Settings","Tools - Import Settings"
"<b>Note:</b> You can upload previously exported settings and import them here. Passwords for sources must be entered again, they won't be imported.","<b>Note:</b> You can upload previously exported settings and import them here. Passwords for sources must be entered again, they won't be imported."
"Update existing profiles if the profile/source name matches","Update existing profiles if the profile/source name matches"
Actions,Actions
Configure,Configure
"Add after","Add after"
Delete,Delete
"Advanced Configuration","Advanced Configuration"
"Configuration XML","Configuration XML"
"Attention: This needs to be valid XML.","Attention: This needs to be valid XML."
"Show help","Show help"
"Save Configuration","Save Configuration"
"Empty Configuration","Empty Configuration"
"Stock Import Module","Stock Import Module"
"Extension Configuration","Extension Configuration"
"Server Name","Server Name"
"License Key","License Key"
"Module Enabled","Module Enabled"
"Debug Section","Debug Section"
"Debug Mode Enabled","Debug Mode Enabled"
"Debug E-Mail","Debug E-Mail"
"Disable Cronjob Warning","Disable Cronjob Warning"
"Are you sure?","Are you sure?"
"Import ID","Import ID"
"Import Type","Import Type"
Entity,Entity
"Imported Files","Imported Files"
Sources,Sources
"Record Count","Record Count"
Result,Result
"Result Message","Result Message"
"Executed At","Executed At"
Action,Action
"Delete log","Delete log"
"Profile Execution Log","Profile Execution Log"
"Set status to 'Enabled'","Set status to 'Enabled'"
"Set status to 'Disabled'","Set status to 'Disabled'"
"Profile ID","Profile ID"
Processor,Processor
"Profile Status","Profile Status"
1,1
"Last Import","Last Import"
"Last Modification","Last Modification"
"Edit Profile","Edit Profile"
"Enabled For Profile","Enabled For Profile"
"Source ID","Source ID"
Type,Type
"Last Result","Last Result"
